patent_title,patent_number,patent_type,patent_date,patent_abstract,patent_firstnamed_assignee_id,patent_firstnamed_assignee_country,patent_firstnamed_assignee_latitude,patent_firstnamed_assignee_longitude,patent_firstnamed_assignee_city,patent_firstnamed_inventor_latitude,patent_firstnamed_inventor_longitude,patent_firstnamed_inventor_city,patent_firstnamed_inventor_country,patent_firstnamed_inventor_id,assignee_key_id,assignee_organization,assignee_type,assignee_total_num_patents
Photovoltaic module,10003299,utility,2018-06-19,"The present invention relates to a photovoltaic module. A photovoltaic module according to an embodiment of the present invention comprises a solar cell module, a micro-inverter to convert DC power generated by the solar cell module into AC power, a controller to control the micro-inverter's operation, and an interface unit connected to power grid supplying external electrical power and to provide the AC power to the power grid, the controller to control operation of the micro-inverter such that the AC power is matched to the external electrical power flowing into the power grid. The photovoltaic module according to the present invention can provide electrical power generated at solar cell modules through a simple connection to power grid which supplies electrical power to home, reducing consumption of electrical power flowing into home.",org_RhdRqOeXj5acoI6RihFQ,KR,37.5985,126.978,Seoul,35.2708,128.66299999999998,Changwon-si,KR,7838762-1,org_RhdRqOeXj5acoI6RihFQ,LG Electronics Inc.,3.0,31129.0
Solar cell panel and mounting structure thereof,10087965,utility,2018-10-02,"A solar cell panel according to an embodiment of the invention includes a solar cell module, a frame including a module coupler coupled with a peripheral edge of the solar cell module and a leg which is connected to the module coupler and includes a plurality of holes, and a plurality of nut members fixed to the leg of frame, each of the plurality of nut members including a bolt insertion hole. Each of the plurality of nut members includes a head, a rivet connected to the head, and a fixer positioned at one end of the rivet. The head is positioned on a first surface of the leg, and the fixer is positioned on a second surface opposite the first surface of the leg. The rivet is inserted into each of the plurality of holes of the leg.",org_RhdRqOeXj5acoI6RihFQ,KR,37.5985,126.978,Seoul,37.5985,126.978,Seoul,KR,9331223-1,org_RhdRqOeXj5acoI6RihFQ,LG Electronics Inc.,3.0,31129.0
Photovoltaic module,10277165,utility,2019-04-30,"The present invention relates to a photovoltaic module. A photovoltaic module according to an embodiment of the present invention comprises a solar cell module, a micro-inverter to convert DC power generated by the solar cell module into AC power, a controller to control the micro-inverter's operation, and an interface unit connected to power grid supplying external electrical power and to provide the AC power to the power grid, the controller to control operation of the micro-inverter such that the AC power is matched to the external electrical power flowing into the power grid. The photovoltaic module according to the present invention can provide electrical power generated at solar cell modules through a simple connection to power grid which supplies electrical power to home, reducing consumption of electrical power flowing into home.",org_RhdRqOeXj5acoI6RihFQ,KR,37.5985,126.978,Seoul,35.2708,128.66299999999998,Changwon-si,KR,7838762-1,org_RhdRqOeXj5acoI6RihFQ,LG Electronics Inc.,3.0,31129.0
Frame system for solar cell module,10316879,utility,2019-06-11,"A frame system for a solar cell module, the frame system includes: a first frame member including a first body that is configured to be fixed to a substrate of the solar cell module and a male coupling portion that is protruded from the first body; and a second frame member including a second body that is configured to be fixed to an installation object and a female coupling portion that is configured to be coupled to the male coupling portion, wherein at an outer surface of the male coupling portion, a protrusion including an inclined surface having an upper width smaller than a lower width and a separation prevention surface that is positioned at a lower end portion of the inclined surface is formed, and at an inside of the female coupling portion, a protrusion coupling portion that corresponds to the protrusion is formed.",org_RhdRqOeXj5acoI6RihFQ,KR,37.5985,126.978,Seoul,37.5985,126.978,Seoul,KR,10316879-1,org_RhdRqOeXj5acoI6RihFQ,LG Electronics Inc.,3.0,31129.0
Power supply device and power supply system including the same,10333340,utility,2019-06-25,"The present invention relates to a power supply device and a power supply system including the same. The power supply device includes a first connector to receive an input alternating current (AC) voltage, a second connector to output a first output AC voltage to a grid, a third connector connectable with a plug of an external electronic device, a voltage conversion unit to convert a first direct current (DC) voltage stored in a battery into an AC voltage, and a controller configured to control the first output AC voltage based on the input AC voltage not to be supplied to the grid when grid power outage occurs while the first AC voltage is output to the grid, and control the input AC voltage to be output to the third connector as a second output AC voltage, or control the input AC voltage to be converted into the first DC voltage and the first DC voltage to be supplied to the battery. Thereby, the input AC voltage generated by the solar module may be utilized when grid power outage occurs.",org_RhdRqOeXj5acoI6RihFQ,KR,37.5985,126.978,Seoul,37.5985,126.978,Seoul,KR,7838762-3,org_RhdRqOeXj5acoI6RihFQ,LG Electronics Inc.,3.0,31129.0
Photovoltaic module,8418417,utility,2013-04-16,"A photovoltaic module has a reinforcement beam for strength reinforcement. The photovoltaic module includes a solar panel having one or more solar cells, a frame surrounding an edge of the solar panel, and a reinforcement beam connecting two separate sides of the frame at the rear of the solar panel, which is opposite to a light receiving surface of the solar panel upon which solar light is incident, the reinforcement beam having a hollow space defined therein.",org_RhdRqOeXj5acoI6RihFQ,KR,37.5985,126.978,Seoul,35.2708,128.66299999999998,Changwon-si,KR,8418417-1,org_RhdRqOeXj5acoI6RihFQ,LG Electronics Inc.,3.0,31129.0
Photovoltaic module,9373959,utility,2016-06-21,"The present invention relates to a photovoltaic module. A photovoltaic module according to an embodiment of the present invention comprises a solar cell module, a micro-inverter to convert DC power generated by the solar cell module into AC power, a controller to control the micro-inverter's operation, and an interface unit connected to power grid supplying external electrical power and to provide the AC power to the power grid, the controller to control operation of the micro-inverter such that the AC power is matched to the external electrical power flowing into the power grid. The photovoltaic module according to the present invention can provide electrical power generated at solar cell modules through a simple connection to power grid which supplies electrical power to home, reducing consumption of electrical power flowing into home.",org_RhdRqOeXj5acoI6RihFQ,KR,37.5985,126.978,Seoul,35.2708,128.66299999999998,Changwon-si,KR,7838762-1,org_RhdRqOeXj5acoI6RihFQ,LG Electronics Inc.,3.0,31129.0
Solar cell module and apparatus for generating photovoltaic power,9391221,utility,2016-07-12,A solar cell module includes a solar cell panel including at least one solar cell; and a frame positioned at a periphery of the solar cell panel. The frame includes an align mark for alignment.An apparatus for generating photovoltaic power includes a solar cell module including a solar cell panel including at least one solar cell and a frame positioned at a periphery of the solar cell panel; and a supporter where the solar cell module is fixed by a fixer. The frame includes an align mark to align the solar cell module with at least one of the supporter and the fixer.,org_RhdRqOeXj5acoI6RihFQ,KR,37.5985,126.978,Seoul,37.5985,126.978,Seoul,KR,8418417-1,org_RhdRqOeXj5acoI6RihFQ,LG Electronics Inc.,3.0,31129.0
"Inflatable, free-standing solar updraft tower with optimal geometry and active control",10006443,utility,2018-06-26,"The present invention provides a self-supporting chimney apparatus. The chimney apparatus having at least one inflatable compartment. In some embodiments, the chimney apparatus may have a plurality of toroidal compartments, with the dimensions of the toroidal compartments calculated to maximize the structural integrity of the chimney apparatus, and with the pressure in the compartments dynamically adjusted to minimize deflection under wind loading. The self-supporting chimney apparatus may be used to construct an improved solar updraft tower, with the shape of the tower, the greenhouse surrounding its base, and the ground under the greenhouse optimized together to minimize energy losses. The efficiency of the power plant based on the design is further enhanced by combining solar thermal energy generation with photovoltaic energy generation and utilizing the waste heat of the latter.",org_CYxaMZn6XkizrP91FcPN,US,35.0844,-106.65100000000001,Albuquerque,35.0844,-106.65100000000001,Albuquerque,US,7416903-4,org_CYxaMZn6XkizrP91FcPN,STC.UNM,2.0,475.0
Mounting system for photovoltaic arrays,10008974,utility,2018-06-26,"Photovoltaic (PV) systems are disclosed, to include mounting brackets and mounting systems. In one embodiment, a PV array mounting system with brackets comprising pairs of panel connectors and panel connector receivers is disclosed.",org_lTHG5e1lAeyochHx3vvW,US,34.0194,-118.49,Santa Monica,40.6461,-111.49700000000001,Park City,US,9136792-1,org_lTHG5e1lAeyochHx3vvW,"PV Solutions, LLC",2.0,4.0
