patent_title,patent_number,patent_type,patent_date,patent_abstract,patent_firstnamed_assignee_id,patent_firstnamed_assignee_country,patent_firstnamed_assignee_latitude,patent_firstnamed_assignee_longitude,patent_firstnamed_assignee_city,patent_firstnamed_inventor_latitude,patent_firstnamed_inventor_longitude,patent_firstnamed_inventor_city,patent_firstnamed_inventor_country,patent_firstnamed_inventor_id,assignee_key_id,assignee_organization,assignee_type,assignee_total_num_patents
Airflow power installations,10018181,utility,2018-07-10,"A stationary power installation for conversion of wind airflow energy is proposed, including a cylindrical body having a top rim radially protruded from the body's walls. The rim includes —a groove on its upper surface, —guide rollers, —support rollers peripherally mounted on the groove's bottom. The installation includes an upper level mounted above the body, having columns supporting a roof, a net screen peripherally surrounding the upper level's inner space, support members supporting an air compressor associated with a compressed air storage, a compressor gear conveying rotation to the compressor, a top shaft, a shutter including a lateral arc member having a bottom edge mounted in the groove and movable between the guide and support rollers, a nave situated above the roof, top bridge rods fixed to the top of arc member, a counter-load mounted diameteraly opposite to the arc member, a flat wind vane, and a brake mechanism.",,,,,,40.65,-73.95,Brooklyn,US,6945180-1,,,,
Floating marine wind turbine,10024307,utility,2018-07-17,"Multiple horizontal axis type rotors are coaxially attached along the upper section of an elongate torque transmitting tower/driveshaft. The tower/driveshaft projects upward from a cantilevered bearing means, and is bent downwind, until the rotors become sufficiently aligned with the wind to rotate the entire tower/driveshaft. Power is drawn from the shaft at the base. Surface mount, subsurface mount, and marine installations, including a sailboat, are disclosed. Blade-to-blade lashing, and vertical axis rotor blades may also be included. Vertical and horizontal axis type rotor blades may be interconnected along the length of the tower/driveshaft to form a structural lattice, and the central shaft may even be eliminated. Aerodynamic lifting bodies or tails, buoyant lifting bodies, buoyant rotor blades, and methods of influencing the tilt of the rotors, can help elevate the structure. This wind turbine can have as few as one single moving part.",,,,,,34.3794,-117.38799999999999,Oak Hills,US,5716305-1,,,,
Method and apparatus that generates electricity from a wind turbine equipped with self-cleaning photovoltaic panels,10094361,utility,2018-10-09,An apparatus that can optimize wind power without compromising solar photovoltaic power collection by doing so and yet provide self-cleaning of the solar photovoltaic panels of the collector. The panels rotate in unison with rotation of the wind turbine airfoils and arranged in a planar region that is substantially transverse to a circumferential region in which the airfoils rotate beneath the solar photovoltaic collector.,,,,,,41.0264,-73.6289,Greenwich,US,9103321-1,,,,
Wind turbine panel,10181771,utility,2019-01-15,"A wind turbine panel is configured to distribute electricity to a load. The wind turbine panel includes a frame further includes a first slot having a first slot first end and a first slot second end. A first alternator is located in a first panel mount on the first slot first end. A second alternator is located in a second panel mount on the first slot second end. A first alternator shaft, connects the first alternator and the second alternator. A wind turbine is connected to the first alternator shaft. The load is electrically coupled to the first alternator and the second alternator. Wind traveling through the frame rotates the wind turbine and thus turns the alternator shafts that generates the electricity which is transferred to the load for use in downstream applications.",,,,,,34.2242,-118.23899999999999,La Crescenta,US,10181771-1,,,,
Wind turbine with thermal battery using noncombustible fuels for storing regenerating energy,10208735,utility,2019-02-19,"A thermal engine includes a thermal battery with a thermal mass for storing regenerative wind and solar energy using a solar lens and mechanical friction generated by the rotation of a wind turbine. The thermal engine comprises a thermal battery; a thermal engine; means of charging the thermal battery using natural energy including a solar lens; a wind turbine; and charging by electrical means. The invention further comprises a means of converting stored thermal energy to mechanical power using non-combustible fluids to drive devices such as an electric generator, a water pump; a means of using said thermal energy to directly heat homes and industrial facilities; a means of using said thermal energy for cooling homes and industrial facilities.",,,,,,35.5478,-87.5519,Hohenwald,US,4972866-1,,,,
Sail based wind energy system,10221833,utility,2019-03-05,"A system utilizes conventional sail technology to greatly increase the wind energy captured at modest cost. The use of a large area collector for wind energy, such as a sail, allows the conversion of wind kinetic energy into pressure so as to be further converted into mechanical or electrical energy in a much smaller turbine than in the conventional wind mill configuration. The collector is characterized by a deployed condition and a furled condition. In the deployed condition, a plurality of flexible membranes of the collector are deployed over an entirety or a portion of a roof. In the furled condition, plurality of flexible membranes are furled.",,,,,,40.5158,-75.5556,Macungie,US,6210546-3,,,,
Wind energy conversion devices,10253755,utility,2019-04-09,"A wind turbine for harvesting energy from both horizontal and vertical wind currents having an open frame structure and a central passage through the structure with at least three wind energy harvesting generally vertically disposed and rotatably mounted blades positioned about the central passage and at least three wind energy harvesting generally horizontal blades projecting radially from the central vertical axis of the device. The open frame structure includes a unique rod and cable central structure offset from the periphery of the frame. In one embodiment, the frame structure is suspended from a rotatable hub at the top of a stationary mast.",,,,,,41.7858,-88.1472,Naperville,US,8257018-1,,,,
System and method for intelligent static transfer switch with smart home power management,10312684,utility,2019-06-04,"Systems and methods for intelligent transfer and management of power maintain a continuous and cost efficient supply of power to electrical loads in a residential or commercial unit when different energy resources such as utility, backup generators, energy storage systems and distributed energy resources (e.g. solar and wind) are available.",,,,,,43.6667,-79.4167,Toronto,CA,10312684-1,,,,
Wind turbine for use in high winds,10364795,utility,2019-07-30,A wind energy generation turbine is built to take advantage of high winds in mountain passes and other areas of extreme wind velocity. A windmill section is raised high by support structures. Electricity generators are kept in the base of the windmill to reduce elevated weight. A nozzle or shroud channels wind into a narrow raceway to take advantage of the Venturi effect. Windmill blade tips housed within a circular raceway are strengthened by blade tip connectors and blade spar struts against high wind forces. Windmill blade angle and windmill wind facing are dynamically altered by computerized motors for maximum efficiency. Windmill blade angle and/or generator load maintain ratio of windmill blade tip speed to wind speed for efficiency. Turbine speed translation gears are able to decouple windmill from 60 Hz cycle or use water pumps and gravity to store energy at peak generation times.,,,,,,35.1258,-117.985,California City,US,9777707-1,,,,
Wind-driven power generator,4963761,utility,1990-10-16,"A wind-driven power generator comprises a substantially horizontal roof including upper and lower roof members each having a peripheral edge and a contoured pressure reducing surface. The roof members are disposed in a spaced-apart relationship with the pressure reducing surfaces facing each other and defining an air space therebetween. The distance between the pressure reducing surfaces varies from a maximum spacing at the peripheral edges of the roof members to a minimum spacing at an intermediate location of the roof members. The power generator further includes a vertical suction pipe having an upper end connected to the lower roof member in flow communication with the air space at the intermediate location of the lower roof member. The lower end of the suction pipe extends downwardly from the lower roof member. An impeller is disposed in the suction pipe at the lower end thereof and rotates when air flows horizontally through the air space. In accordance with Bernoulli effect, the increase in speed of the horizontal air flow at the intermediate location creates a pressure reduction in the air space at the upper end of the suction pipe and draws air up through the suction pipe to rotate the impeller. The impeller preferably is connected to an electrical generator that generates electricity when the impeller rotates.",,,,,,41.4819,-81.7983,Lakewood,US,4963761-1,,,,
